Student_ID,Years,Entrance_Test_Score,Enroll_Date_Time,Course_ID,Course_Progress,Online,Gender,International,Complete
172777,0,47,159227767,807728,76,no,1,no,yes
172777,0,47,159227782,658434,67,no,1,no,yes
172777,0,47,159227866,658463,64,no,1,no,yes
172777,0,47,159227948,658498,69,no,1,no,yes
175658,0,92.8,157446419,807728,80,no,1,no,yes
175658,5,92.8,157446424,658434,82,no,1,no,yes
175658,4,92.8,157446441,658463,75,no,1,no,yes
175658,4,92.8,157446449,658498,70,no,1,no,yes
175658,0,92.8,157446458,807754,98,no,1,no,yes
175658,5,92.8,157446463,658438,82,no,1,no,yes
175658,4,92.8,157446470,658464,87,no,1,no,yes
175658,4,92.8,157446476,658495,85,no,1,no,yes
175658,0,92.8,157446484,807755,88,no,1,no,yes
175658,5,92.8,157446491,658439,78,no,1,no,yes
175658,4,92.8,157475041,658470,83,no,1,no,yes
175658,4,92.8,157475045,658494,80,no,1,no,yes
175658,5,92.8,157475048,658440,86,no,1,no,yes
175658,0,92.8,157583477,658465,84,no,1,no,yes
175658,0,92.8,157583549,658514,84,no,1,no,yes
175658,0,92.8,157583572,658441,87,no,1,no,yes
175658,4,92.8,157583598,658467,65,no,1,no,yes
175658,0,92.8,157583635,658497,82,no,1,no,yes
175658,0,92.8,157583646,658450,87,no,1,no,yes
175658,0,92.8,157583697,658466,96,no,1,no,yes
175658,0,92.8,157668948,658499,87,no,1,no,yes
175658,1,92.8,157668952,658442,65,no,1,no,yes
175669,0,81.4,151377279,807728,83,no,1,no,yes
175669,3,81.4,151377607,658434,62,no,1,no,yes
175669,4,81.4,151379004,658463,67,no,1,no,yes
175669,4,81.4,151379698,658498,31,no,1,no,yes
175669,0,81.4,151379896,807754,88,no,1,no,yes
175669,0,81.4,151379953,658438,95,no,1,no,yes
175669,4,81.4,151380582,658464,57,no,1,no,yes
175669,0,81.4,151480432,658495,93,no,1,no,yes
175669,0,81.4,151480679,807755,92,no,1,no,yes
175669,0,81.4,151480730,658439,94,no,1,no,yes
175669,0,81.4,151480931,658470,86,no,1,no,yes
176151,0,90.9,151139906,807728,89,yes,1,no,yes
176151,0,90.9,151139938,658434,94,yes,1,no,yes
176151,0,90.9,151140149,658463,81,yes,1,no,yes
176151,4,90.9,151140448,658498,81,yes,1,no,yes
176151,0,90.9,151140624,807754,80,yes,1,no,yes
176151,5,90.9,151140636,658438,78,yes,1,no,yes
176151,0,90.9,151140955,658464,82,yes,1,no,yes
176151,0,90.9,151141547,658495,90,yes,1,no,yes
176151,0,90.9,151141768,807755,84,yes,1,no,yes
176151,0,90.9,151141803,658439,82,yes,1,no,yes
176151,0,90.9,152696835,807728,91,yes,1,no,yes
176151,0,90.9,152696852,658434,82,yes,1,no,yes
176151,0,90.9,154672991,658463,96,yes,1,no,yes
176151,0,90.9,154673102,658498,85,yes,1,no,yes
176151,0,90.9,154673126,807754,84,yes,1,no,yes
176151,0,90.9,154673128,658438,70,yes,1,no,yes
176165,0,73.8,151481082,807728,92,no,1,no,yes
176165,5,73.8,151481111,658434,61,no,1,no,yes
176165,4,73.8,151481691,658463,22,no,1,no,yes
176165,4,73.8,151482486,658498,73,no,1,no,yes
176165,0,73.8,151483348,807754,91,no,1,no,yes
176165,0,73.8,151483391,658438,28,no,1,no,yes
176168,0,96.9,151139922,807717,87,no,1,yes,yes
176168,5,96.9,151139944,658434,79,no,1,yes,yes
176168,4,96.9,151140181,658463,70,no,1,yes,yes
176168,4,96.9,151140399,658498,82,no,1,yes,yes
176168,0,96.9,151140485,807758,92,no,1,yes,yes
176168,5,96.9,151140506,658438,85,no,1,yes,yes
176168,4,96.9,151140810,658464,64,no,1,yes,yes
176168,0,96.9,151141071,658495,97,no,1,yes,yes
176168,0,96.9,151141300,807757,81,no,1,yes,yes
176168,0,96.9,151141326,658439,99,no,1,yes,yes
176168,0,96.9,151141505,658470,88,no,1,yes,yes
176461,0,37.6,151139956,807728,61,no,2,no,yes
176461,5,37.6,151140028,658434,69,no,2,no,yes
176461,4,37.6,151140319,658463,57,no,2,no,yes
176461,0,37.6,151140546,658498,66,no,2,no,yes
176461,0,37.6,151142673,807754,69,no,2,no,yes
176461,5,37.6,151142739,658438,24,no,2,no,yes
176461,4,37.6,151145432,658464,17,no,2,no,yes
176461,0,37.6,151378269,658495,67,no,2,no,yes
176461,0,37.6,151378442,807755,73,no,2,no,yes
176461,5,37.6,151378493,658439,18,no,2,no,yes
176461,0,37.6,151380071,658470,13,no,2,no,yes
176486,0,44.5,151139914,807728,62,no,2,no,yes
176486,4,44.5,151139953,658434,15,no,2,no,yes
176486,4,44.5,151140706,658463,76,no,2,no,yes
176486,4,44.5,151378968,658498,37,no,2,no,yes
176486,0,44.5,151379808,807754,71,no,2,no,yes
176486,10,44.5,151379854,658438,23,no,2,no,yes
176486,8,44.5,151480416,658464,43,no,2,no,yes
176486,4,44.5,151482293,658495,77,no,2,no,yes
176486,0,44.5,151482930,807755,68,no,2,no,yes
176486,0,44.5,151482985,658439,21,no,2,no,yes
176488,0,35.7,151139926,807717,66,no,1,no,yes
176488,5,35.7,151139942,658434,79,no,1,no,yes
176488,4,35.7,151140335,658463,15,no,1,no,yes
176488,0,35.7,151140738,658498,61,no,1,no,yes
176488,0,35.7,151141246,807758,63,no,1,no,yes
176488,5,35.7,151141297,658438,38,no,1,no,yes
176488,4,35.7,151141740,658464,75,no,1,no,yes
176488,0,35.7,151142855,658495,69,no,1,no,yes
176488,0,35.7,151145040,807757,74,no,1,no,yes
176488,0,35.7,151145078,658439,21,no,1,no,yes
176488,4,35.7,151146161,658470,31,no,1,no,yes
176488,0,35.7,151377540,658494,68,no,1,no,yes
176488,4,35.7,151378047,658465,56,no,1,no,yes
176488,0,35.7,151378994,658514,76,no,1,no,yes
176488,5,35.7,151379527,658441,40,no,1,no,yes
176488,4,35.7,151380038,658467,64,no,1,no,yes
176488,0,35.7,151381154,658497,62,no,1,no,yes
176488,5,35.7,151383220,658450,79,no,1,no,yes
176488,4,35.7,151480662,658466,61,no,1,no,yes
176494,0,79,151377011,807728,94,yes,2,no,yes
176494,5,79,151377103,658434,67,yes,2,no,yes
